room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
1,277,1,79,46,1.8391786889156077,2,24.0,25,0,0.0,35.0,2,28.0,97.0,1.0,1.0,2.0,0,4
1,127,3,103,60,1.794241983939935,1,77.57585452065788,24,0,0.0,0.0,1,40.0,98.0,2.0,1.0,1.0,0,1
0,3,1,212,60,12.730456711304308,2,43.0,16,0,213.93,30.0,1,15.0,93.0,1.0,1.0,2.0,0,2
0,5,2,277,43,7.825963568237205,2,53.79758872122099,14,0,213.93,15.0,1,5.0,85.0,1.0,0.0,1.0,0,3
0,7,1,307,85,2.433360074669989,2,60.0,7,0,213.93,30.0,1,10.0,89.0,1.0,2.0,4.0,0,4
0,373,2,91,60,3.349238983176019,2,32.0,17,0,213.93,25.0,1,0.0,96.0,1.0,1.0,2.0,0,2
1,80,1,271,58,5.305419320794731,2,45.0,14,0,213.93,35.0,1,8.0,90.0,1.0,1.0,1.0,0,2
1,101,2,191,55,3.7452964078909265,2,46.0,19,0,299.0,35.0,2,20.0,96.0,1.0,1.0,2.0,0,2
1,55,3,27,30,4.486114778725031,2,25.0,18,0,0.0,20.0,1,20.0,97.0,1.0,1.0,1.0,0,2
1,146,3,0,31,3.478374566143362,2,10.0,15,0,150.0,25.0,1,12.0,92.0,1.0,1.0,1.0,0,2
1,16,2,159,35,10.417822909306842,1,20.0,27,0,100.0,35.0,1,20.0,100.0,2.0,1.0,1.0,0,1
0,105,1,232,45,3.9168068568729137,2,63.17756457670095,17,0,200.0,49.0,2,18.0,79.0,1.0,1.0,1.0,0,2
