room_type,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,security_deposit,cleaning_fee,guests_included,extra_people,bathrooms,bedrooms,beds,bed_type,accommodates
16,1,79,46,1.8391786889156077,18,24.0,25,0.0,35.0,2,28.0,1.0,1.0,2.0,7,4
16,3,103,60,1.794241983939935,20,77.5758545206576,24,0.0,0.0,1,40.0,2.0,1.0,1.0,7,1
15,1,212,60,12.730456711304308,18,43.0,16,213.93,30.0,1,15.0,1.0,1.0,2.0,7,2
15,2,277,43,7.825963568237205,18,53.79758872122099,14,213.93,15.0,1,5.0,1.0,0.0,1.0,7,3
15,1,307,85,2.433360074669989,18,60.0,7,213.93,30.0,1,10.0,1.0,2.0,4.0,7,4
15,2,91,60,3.349238983176019,18,32.0,17,213.93,25.0,1,0.0,1.0,1.0,2.0,7,2
16,1,271,58,5.305419320794731,18,45.0,14,213.93,35.0,1,8.0,1.0,1.0,1.0,7,2
16,2,191,55,3.7452964078909265,18,46.0,19,299.0,35.0,2,20.0,1.0,1.0,2.0,7,2
16,3,27,30,4.486114778725031,18,25.0,18,0.0,20.0,1,20.0,1.0,1.0,1.0,7,2
16,3,0,31,3.478374566143362,18,10.0,15,150.0,25.0,1,12.0,1.0,1.0,1.0,7,2
16,2,159,35,10.417822909306842,20,20.0,27,100.0,35.0,1,20.0,2.0,1.0,1.0,7,1
15,1,232,45,3.9168068568729137,18,63.17756457670103,17,200.0,49.0,2,18.0,1.0,1.0,1.0,7,2
15,1,274,100,3.732510507158358,20,70.12474111796192,13,400.0,60.0,2,0.0,2.0,1.0,2.0,7,2
15,2,304,95,18.931718422076365,18,63.71516237501439,20,213.93,38.0,1,0.0,1.0,1.0,3.0,7,4
15,2,272,95,18.902045371440874,18,63.71516237501439,20,213.93,38.0,1,0.0,1.0,1.0,2.0,7,4
15,6,251,63,5.738907060615983,18,45.0,16,150.0,20.0,2,5.0,1.0,0.0,1.0,7,4
15,1,362,175,5.596652084174682,18,104.05168338437878,32,750.0,80.0,4,45.0,1.0,1.0,3.0,7,5
